Method,VE_CKA,BR_CKA,LB_CKA,Retain,CNIS,Taxonomy
GA,0.9996,0.9976,0.9687,0.9889,N/A,Under-forgetting
MMUnlearner,0.9996,0.9976,0.9308,0.9923,N/A,Under-forgetting
